,Treatment,Area,A.gambiae,Other.Anophelines,Aedes.sp,Culex.sp,Mansonia.sp
1,IG2.unwash,Net,267,1,0,2,59
2,IG2.unwash,Room,259,5,1,1,106
3,IG2.unwash,Veranda,67,0,1,0,48
4,IG2.wash,Net,235,3,0,1,69
5,IG2.wash,Room,364,6,0,1,134
6,IG2.wash,Veranda,124,2,0,1,50
7,P2.unwash,Net,208,7,0,0,85
8,P2.unwash,Room,238,8,0,1,156
9,P2.unwash,Veranda,100,1,0,1,38
10,P3.unwash,Net,139,2,0,0,85
11,P3.unwash,Room,246,10,0,1,185
12,P3.unwash,Veranda,119,3,0,0,50
13,P3.wash,Net,282,2,0,4,87
14,P3.wash,Room,255,2,0,0,206
15,P3.wash,Veranda,139,1,0,0,88
16,UTN,Net,335,2,0,0,130
17,UTN,Room,329,14,2,3,177
18,UTN,Veranda,166,5,1,1,77
,Total,,3872,74,5,17,1830
