,effect,group,term,estimate,std.error,statistic,p.value
1,fixed,NA,(Intercept),-2.411,0.271,-8.887,0.000
2,fixed,NA,LocationRoom,0.977,0.260,3.755,0.000
3,fixed,NA,LocationVeranda,1.340,0.296,4.526,0.000
4,fixed,NA,TreatmentIG2.unwash,-0.103,0.392,-0.264,0.792
5,fixed,NA,TreatmentIG2.wash,2.724,0.345,7.902,0.000
6,fixed,NA,TreatmentP2.unwash,0.328,0.384,0.855,0.392
7,fixed,NA,TreatmentP3.unwash,1.022,0.388,2.632,0.008
8,fixed,NA,TreatmentP3.wash,0.253,0.364,0.695,0.487
9,fixed,NA,LocationRoom:TreatmentIG2.unwash,0.600,0.401,1.495,0.135
10,fixed,NA,LocationVeranda:TreatmentIG2.unwash,-0.470,0.533,-0.882,0.378
11,fixed,NA,LocationRoom:TreatmentIG2.wash,-0.390,0.340,-1.145,0.252
12,fixed,NA,LocationVeranda:TreatmentIG2.wash,-1.894,0.408,-4.643,0.000
13,fixed,NA,LocationRoom:TreatmentP2.unwash,0.295,0.389,0.759,0.448
14,fixed,NA,LocationVeranda:TreatmentP2.unwash,-0.732,0.456,-1.606,0.108
15,fixed,NA,LocationRoom:TreatmentP3.unwash,0.359,0.395,0.909,0.363
16,fixed,NA,LocationVeranda:TreatmentP3.unwash,-0.434,0.451,-0.963,0.335
17,fixed,NA,LocationRoom:TreatmentP3.wash,0.134,0.364,0.369,0.712
18,fixed,NA,LocationVeranda:TreatmentP3.wash,-0.300,0.423,-0.708,0.479
19,ran_pars,marker,sd__(Intercept),0.928,NA,NA,NA
20,ran_pars,Hut,sd__(Intercept),0.188,NA,NA,NA
