,effect,group,term,estimate,std.error,statistic,p.value
1,fixed,NA,(Intercept),-5.146,0.654,-7.866,0.000
2,fixed,NA,Fed,1.606,0.135,11.894,0.000
3,fixed,NA,LocationRoom,1.669,0.345,4.832,0.000
4,fixed,NA,LocationVeranda,1.864,0.410,4.542,0.000
5,fixed,NA,TreatmentIG2.unwash,0.158,0.445,0.356,0.722
6,fixed,NA,TreatmentIG2.wash,3.251,0.405,8.032,0.000
7,fixed,NA,TreatmentP2.unwash,0.587,0.441,1.332,0.183
8,fixed,NA,TreatmentP3.unwash,1.447,0.451,3.206,0.001
9,fixed,NA,TreatmentP3.wash,0.471,0.417,1.129,0.259
10,fixed,NA,Total.Loc,-0.002,0.012,-0.159,0.873
11,fixed,NA,diurnal_temp_range,0.133,0.063,2.115,0.034
12,fixed,NA,LocationRoom:TreatmentIG2.unwash,0.622,0.424,1.467,0.142
13,fixed,NA,LocationVeranda:TreatmentIG2.unwash,-0.341,0.572,-0.597,0.551
14,fixed,NA,LocationRoom:TreatmentIG2.wash,-0.429,0.362,-1.183,0.237
15,fixed,NA,LocationVeranda:TreatmentIG2.wash,-2.066,0.436,-4.744,0.000
16,fixed,NA,LocationRoom:TreatmentP2.unwash,0.113,0.414,0.274,0.784
17,fixed,NA,LocationVeranda:TreatmentP2.unwash,-0.583,0.488,-1.195,0.232
18,fixed,NA,LocationRoom:TreatmentP3.unwash,0.419,0.427,0.980,0.327
19,fixed,NA,LocationVeranda:TreatmentP3.unwash,-0.545,0.485,-1.125,0.261
20,fixed,NA,LocationRoom:TreatmentP3.wash,0.069,0.384,0.180,0.857
21,fixed,NA,LocationVeranda:TreatmentP3.wash,-0.100,0.457,-0.218,0.828
22,fixed,NA,LocationRoom:Total.Loc,0.020,0.014,1.404,0.160
23,fixed,NA,LocationVeranda:Total.Loc,0.036,0.019,1.847,0.065
24,ran_pars,marker,sd__(Intercept),1.181,NA,NA,NA
25,ran_pars,Sleeper,sd__(Intercept),0.444,NA,NA,NA
26,ran_pars,Hut,sd__(Intercept),0.269,NA,NA,NA
