,effect,group,term,estimate,std.error,statistic,p.value
1,fixed,NA,(Intercept),-4.095,0.394,-10.383,0.000
2,fixed,NA,Fed,1.565,0.132,11.864,0.000
3,fixed,NA,LocationRoom,1.890,0.282,6.696,0.000
4,fixed,NA,LocationVeranda,2.236,0.316,7.065,0.000
5,fixed,NA,TreatmentIG2.unwash,0.137,0.447,0.307,0.759
6,fixed,NA,TreatmentIG2.wash,3.217,0.406,7.933,0.000
7,fixed,NA,TreatmentP2.unwash,0.505,0.441,1.145,0.252
8,fixed,NA,TreatmentP3.unwash,1.439,0.447,3.217,0.001
9,fixed,NA,TreatmentP3.wash,0.450,0.419,1.074,0.283
10,fixed,NA,LocationRoom:TreatmentIG2.unwash,0.586,0.418,1.403,0.161
11,fixed,NA,LocationVeranda:TreatmentIG2.unwash,-0.557,0.552,-1.011,0.312
12,fixed,NA,LocationRoom:TreatmentIG2.wash,-0.431,0.357,-1.205,0.228
13,fixed,NA,LocationVeranda:TreatmentIG2.wash,-2.085,0.430,-4.845,0.000
14,fixed,NA,LocationRoom:TreatmentP2.unwash,0.196,0.406,0.483,0.629
15,fixed,NA,LocationVeranda:TreatmentP2.unwash,-0.769,0.474,-1.622,0.105
16,fixed,NA,LocationRoom:TreatmentP3.unwash,0.329,0.418,0.787,0.431
17,fixed,NA,LocationVeranda:TreatmentP3.unwash,-0.611,0.473,-1.290,0.197
18,fixed,NA,LocationRoom:TreatmentP3.wash,0.062,0.379,0.163,0.870
19,fixed,NA,LocationVeranda:TreatmentP3.wash,-0.240,0.440,-0.545,0.585
20,ran_pars,marker,sd__(Intercept),1.205,NA,NA,NA
21,ran_pars,Sleeper,sd__(Intercept),0.437,NA,NA,NA
22,ran_pars,Hut,sd__(Intercept),0.262,NA,NA,NA
