,effect,group,term,estimate,std.error,statistic,p.value
1,fixed,NA,(Intercept),-5.366,0.690,-7.772,0.000
2,fixed,NA,Fed,1.625,0.135,11.994,0.000
3,fixed,NA,LocationRoom,2.632,0.348,7.560,0.000
4,fixed,NA,LocationVeranda,1.892,0.487,3.884,0.000
5,fixed,NA,TreatmentIG2.wash,3.025,0.518,5.839,0.000
6,fixed,NA,TreatmentP2.unwash,0.564,0.522,1.081,0.280
7,fixed,NA,TreatmentP3.unwash,1.706,0.551,3.098,0.002
8,fixed,NA,TreatmentP3.wash,1.035,0.542,1.909,0.056
9,fixed,NA,TreatmentUTN,-0.121,0.532,-0.228,0.820
10,fixed,NA,Total.Loc,0.019,0.014,1.371,0.170
11,fixed,NA,diurnal_temp_range,0.135,0.065,2.083,0.037
12,fixed,NA,LocationRoom:TreatmentIG2.wash,-1.194,0.410,-2.914,0.004
13,fixed,NA,LocationVeranda:TreatmentIG2.wash,-1.698,0.568,-2.992,0.003
14,fixed,NA,LocationRoom:TreatmentP2.unwash,-0.676,0.467,-1.449,0.147
15,fixed,NA,LocationVeranda:TreatmentP2.unwash,-0.294,0.608,-0.484,0.628
16,fixed,NA,LocationRoom:TreatmentP3.unwash,-0.370,0.466,-0.793,0.428
17,fixed,NA,LocationVeranda:TreatmentP3.unwash,-0.232,0.602,-0.386,0.699
18,fixed,NA,LocationRoom:TreatmentP3.wash,-0.662,0.428,-1.548,0.122
19,fixed,NA,LocationVeranda:TreatmentP3.wash,-0.036,0.581,-0.062,0.950
20,fixed,NA,LocationRoom:TreatmentUTN,-0.711,0.436,-1.632,0.103
21,fixed,NA,LocationVeranda:TreatmentUTN,0.470,0.576,0.814,0.415
22,fixed,NA,TreatmentIG2.wash:Total.Loc,0.016,0.021,0.743,0.458
23,fixed,NA,TreatmentP2.unwash:Total.Loc,-0.001,0.019,-0.037,0.970
24,fixed,NA,TreatmentP3.unwash:Total.Loc,-0.028,0.028,-0.997,0.319
25,fixed,NA,TreatmentP3.wash:Total.Loc,-0.056,0.024,-2.307,0.021
26,fixed,NA,TreatmentUTN:Total.Loc,0.000,0.018,-0.024,0.981
27,ran_pars,marker,sd__(Intercept),1.234,NA,NA,NA
28,ran_pars,Sleeper,sd__(Intercept),0.464,NA,NA,NA
